
ts_utc,market_hash_name,price_cents,price_usd
2025-10-03T19:18:11+00:00,USP-S | Cortex (Well-Worn),224.0,2.24
2025-10-03T19:18:11+00:00,USP-S | Neo-Noir (Minimal Wear),2250.0,22.5
2025-10-04T00:56:54+00:00,AK-47 | Legion of Anubis (Minimal Wear),969.0,9.69
2025-10-04T00:56:54+00:00,AWP | Atheris (Factory New),2289.0,22.89
2025-10-04T00:56:54+00:00,AWP | Duality (Field-Tested),167.0,1.67
2025-10-04T00:56:54+00:00,Desert Eagle | Heat Treated (Field-Tested),145.0,1.45
2025-10-04T00:56:54+00:00,Glock-18 | Bunsen Burner (Factory New),326.0,3.26
2025-10-04T00:56:54+00:00,Operator | FBI SWAT,3160.0,31.6
2025-10-04T00:56:54+00:00,SSG 08 | Zeno (Well-Worn),400.0,4.0
2025-10-04T00:56:54+00:00,Snakebite Case,66.0,0.66
2025-10-04T00:56:54+00:00,Soldier | Phoenix,1700.0,17.0
2025-10-04T00:56:54+00:00,USP-S | Cortex (Well-Worn),224.0,2.24
2025-10-04T00:56:54+00:00,USP-S | Neo-Noir (Minimal Wear),2221.0,22.21
2025-10-04T07:19:55+00:00,AK-47 | Legion of Anubis (Minimal Wear),956.0,9.56
2025-10-04T07:19:55+00:00,AWP | Atheris (Factory New),2248.0,22.48
2025-10-04T07:19:55+00:00,AWP | Duality (Field-Tested),165.0,1.65
2025-10-04T07:19:55+00:00,Desert Eagle | Heat Treated (Field-Tested),144.0,1.44
2025-10-04T07:19:55+00:00,Glock-18 | Bunsen Burner (Factory New),326.0,3.26
2025-10-04T07:19:55+00:00,Operator | FBI SWAT,3160.0,31.6
2025-10-04T07:19:55+00:00,SSG 08 | Zeno (Well-Worn),400.0,4.0
2025-10-04T07:19:55+00:00,Snakebite Case,65.0,0.65
2025-10-04T07:19:55+00:00,Soldier | Phoenix,1535.0,15.35
2025-10-04T07:19:55+00:00,USP-S | Cortex (Well-Worn),199.0,1.99
2025-10-04T07:19:55+00:00,USP-S | Neo-Noir (Minimal Wear),2208.0,22.08
2025-10-04T19:17:33+00:00,AK-47 | Legion of Anubis (Minimal Wear),974.0,9.74
2025-10-04T19:17:33+00:00,AWP | Atheris (Factory New),2300.0,23.0
2025-10-04T19:17:33+00:00,AWP | Duality (Field-Tested),172.0,1.72
2025-10-04T19:17:33+00:00,Desert Eagle | Heat Treated (Field-Tested),146.0,1.46
2025-10-04T19:17:33+00:00,Glock-18 | Bunsen Burner (Factory New),305.0,3.05
2025-10-04T19:17:33+00:00,Operator | FBI SWAT,3120.0,31.2
2025-10-04T19:17:33+00:00,SSG 08 | Zeno (Well-Worn),400.0,4.0
2025-10-04T19:17:33+00:00,Snakebite Case,66.0,0.66
2025-10-04T19:17:33+00:00,Soldier | Phoenix,1569.0,15.69
2025-10-04T19:17:33+00:00,USP-S | Cortex (Well-Worn),240.0,2.4
2025-10-04T19:17:33+00:00,USP-S | Neo-Noir (Minimal Wear),2203.0,22.03
2025-10-05T07:20:09+00:00,AK-47 | Legion of Anubis (Minimal Wear),959.0,9.59
2025-10-05T07:20:09+00:00,AWP | Atheris (Factory New),2339.0,23.39
2025-10-05T07:20:09+00:00,AWP | Duality (Field-Tested),170.0,1.7
2025-10-05T07:20:09+00:00,Desert Eagle | Heat Treated (Field-Tested),150.0,1.5
2025-10-05T07:20:09+00:00,Glock-18 | Bunsen Burner (Factory New),305.0,3.05
2025-10-05T07:20:09+00:00,Operator | FBI SWAT,3120.0,31.2
2025-10-05T07:20:09+00:00,SSG 08 | Zeno (Well-Worn),79.0,0.79
2025-10-05T07:20:09+00:00,Snakebite Case,66.0,0.66
2025-10-05T07:20:09+00:00,Soldier | Phoenix,1667.0,16.67
2025-10-05T07:20:09+00:00,USP-S | Cortex (Well-Worn),240.0,2.4
2025-10-05T07:20:09+00:00,USP-S | Neo-Noir (Minimal Wear),2200.0,22.0
2025-10-05T19:17:32+00:00,AK-47 | Legion of Anubis (Minimal Wear),988.0,9.88
2025-10-05T19:17:32+00:00,AWP | Atheris (Factory New),2343.0,23.43
2025-10-05T19:17:32+00:00,AWP | Duality (Field-Tested),168.0,1.68
2025-10-05T19:17:32+00:00,Desert Eagle | Heat Treated (Field-Tested),147.0,1.47
2025-10-05T19:17:32+00:00,Glock-18 | Bunsen Burner (Factory New),340.0,3.4
2025-10-05T19:17:32+00:00,Operator | FBI SWAT,2900.0,29.0
2025-10-05T19:17:32+00:00,SSG 08 | Zeno (Well-Worn),400.0,4.0
2025-10-05T19:17:32+00:00,Snakebite Case,66.0,0.66
2025-10-05T19:17:32+00:00,Soldier | Phoenix,1550.0,15.5
2025-10-05T19:17:32+00:00,USP-S | Cortex (Well-Worn),240.0,2.4
2025-10-05T19:17:32+00:00,USP-S | Neo-Noir (Minimal Wear),2278.0,22.78
2025-10-06T07:25:17+00:00,AK-47 | Legion of Anubis (Minimal Wear),988.0,9.88
2025-10-06T07:25:17+00:00,AWP | Atheris (Factory New),2343.0,23.43
2025-10-06T07:25:17+00:00,AWP | Duality (Field-Tested),176.0,1.76
2025-10-06T07:25:17+00:00,Desert Eagle | Heat Treated (Field-Tested),147.0,1.47
2025-10-06T07:25:17+00:00,Glock-18 | Bunsen Burner (Factory New),340.0,3.4
2025-10-06T07:25:17+00:00,Operator | FBI SWAT,2999.0,29.99
2025-10-06T07:25:17+00:00,SSG 08 | Zeno (Well-Worn),400.0,4.0
2025-10-06T07:25:17+00:00,Snakebite Case,66.0,0.66
2025-10-06T07:25:17+00:00,Soldier | Phoenix,1398.0,13.98
2025-10-06T07:25:17+00:00,USP-S | Cortex (Well-Worn),240.0,2.4
2025-10-06T07:25:17+00:00,USP-S | Neo-Noir (Minimal Wear),2280.0,22.8
2025-10-06T19:19:56+00:00,AK-47 | Legion of Anubis (Minimal Wear),981.0,9.81
2025-10-06T19:19:56+00:00,AWP | Atheris (Factory New),2309.0,23.09
2025-10-06T19:19:56+00:00,AWP | Duality (Field-Tested),164.0,1.64
2025-10-06T19:19:56+00:00,Desert Eagle | Heat Treated (Field-Tested),149.0,1.49
2025-10-06T19:19:56+00:00,Glock-18 | Bunsen Burner (Factory New),340.0,3.4
2025-10-06T19:19:56+00:00,Operator | FBI SWAT,2984.0,29.84
2025-10-06T19:19:56+00:00,SSG 08 | Zeno (Well-Worn),400.0,4.0
2025-10-06T19:19:56+00:00,Snakebite Case,66.0,0.66
2025-10-06T19:19:56+00:00,Soldier | Phoenix,1345.0,13.45
2025-10-06T19:19:56+00:00,USP-S | Cortex (Well-Worn),206.0,2.06
2025-10-06T19:19:56+00:00,USP-S | Neo-Noir (Minimal Wear),2303.0,23.03
2025-10-07T07:23:56+00:00,AK-47 | Legion of Anubis (Minimal Wear),975.0,9.75
2025-10-07T07:23:56+00:00,AWP | Atheris (Factory New),2328.0,23.28
2025-10-07T07:23:56+00:00,AWP | Duality (Field-Tested),169.0,1.69
2025-10-07T07:23:56+00:00,Desert Eagle | Heat Treated (Field-Tested),147.0,1.47
2025-10-07T07:23:56+00:00,Glock-18 | Bunsen Burner (Factory New),344.0,3.44
2025-10-07T07:23:56+00:00,Operator | FBI SWAT,2992.0,29.92
2025-10-07T07:23:56+00:00,SSG 08 | Zeno (Well-Worn),400.0,4.0
2025-10-07T07:23:56+00:00,Snakebite Case,66.0,0.66
2025-10-07T07:23:56+00:00,Soldier | Phoenix,1495.0,14.95
2025-10-07T07:23:56+00:00,USP-S | Cortex (Well-Worn),239.0,2.39
2025-10-07T07:23:56+00:00,USP-S | Neo-Noir (Minimal Wear),2303.0,23.03
2025-10-07T19:19:48+00:00,AK-47 | Legion of Anubis (Minimal Wear),988.0,9.88
2025-10-07T19:19:48+00:00,AWP | Atheris (Factory New),2340.0,23.4
2025-10-07T19:19:48+00:00,AWP | Duality (Field-Tested),169.0,1.69
