ts_utc,market_hash_name,price_cents,price_usd
2025-10-02T13:01:24+00:00,AK-47 | Legion of Anubis (Minimal Wear),967,9.67
2025-10-02T13:01:24+00:00,AWP | Atheris (Factory New),2265,22.65
2025-10-02T13:01:24+00:00,AWP | Duality (Field-Tested),167,1.67
2025-10-02T13:01:24+00:00,Desert Eagle | Heat Treated (Field-Tested),145,1.45
2025-10-02T13:01:24+00:00,Glock-18 | Bunsen Burner (Factory New),349,3.49
2025-10-02T13:01:24+00:00,Operator | FBI SWAT,3195,31.95
2025-10-02T13:01:24+00:00,SSG 08 | Zeno (Well-Worn),400,4.00
2025-10-02T13:01:24+00:00,Snakebite Case,64,0.64
2025-10-02T13:01:24+00:00,Soldier | Phoenix,1569,15.69
2025-10-02T13:01:24+00:00,USP-S | Cortex (Well-Worn),228,2.28
2025-10-02T13:01:24+00:00,USP-S | Neo-Noir (Minimal Wear),2250,22.50
